Date,Socrata Users,Socrata Sessions,Socrata Bounce Rate,Geohub Users,Geohub Sessions,Geohub Bounce Rate,Combined Users
2015-09-13T00:00:00,121,133,9.7744,,,,
2015-09-14T00:00:00,305,358,6.9832,,,,
2015-09-15T00:00:00,306,366,6.8306,,,,
2015-09-16T00:00:00,356,442,7.4661,,,,
2015-09-17T00:00:00,359,466,5.5794,,,,
2015-09-18T00:00:00,301,376,6.383,,,,
2015-09-19T00:00:00,92,106,2.8302,,,,
2015-09-20T00:00:00,120,144,6.25,,,,
2015-09-21T00:00:00,317,384,4.1667,,,,
2015-09-22T00:00:00,340,415,5.5422,,,,
2015-09-23T00:00:00,346,430,2.5581,,,,
2015-09-24T00:00:00,338,411,5.3528,,,,
2015-09-25T00:00:00,251,282,4.6099,,,,
2015-09-26T00:00:00,114,124,5.6452,,,,
2015-09-27T00:00:00,148,162,6.1728,,,,
2015-09-28T00:00:00,334,393,5.8524,,,,
2015-09-29T00:00:00,409,493,4.0568,,,,
2015-09-30T00:00:00,312,376,7.9787,,,,
2015-10-01T00:00:00,306,385,5.1948,,,,
2015-10-02T00:00:00,292,382,3.6649,,,,
2015-10-03T00:00:00,118,131,5.3435,,,,
2015-10-04T00:00:00,128,145,5.5172,,,,
2015-10-05T00:00:00,348,434,5.0691,,,,
2015-10-06T00:00:00,358,465,9.6774,,,,
2015-10-07T00:00:00,342,422,8.7678,,,,
2015-10-08T00:00:00,412,520,4.8077,,,,
2015-10-09T00:00:00,303,398,3.5176,,,,
2015-10-10T00:00:00,133,153,6.5359,,,,
2015-10-11T00:00:00,232,254,2.7559,,,,
2015-10-12T00:00:00,471,519,3.6609,,,,
2015-10-13T00:00:00,326,434,4.3779,,,,
2015-10-14T00:00:00,348,479,6.4718,,,,
2015-10-15T00:00:00,338,457,5.0328,,,,
2015-10-16T00:00:00,254,305,6.2295,,,,
2015-10-17T00:00:00,105,115,3.4783,,,,
2015-10-18T00:00:00,126,150,10.6667,,,,
2015-10-19T00:00:00,379,492,4.4715,,,,
2015-10-20T00:00:00,385,473,6.3425,,,,
2015-10-21T00:00:00,294,389,2.8278,,,,
2015-10-22T00:00:00,307,377,5.0398,,,,
2015-10-23T00:00:00,299,382,8.1152,,,,
2015-10-24T00:00:00,115,137,8.0292,,,,
2015-10-25T00:00:00,143,178,11.236,,,,
2015-10-26T00:00:00,346,473,7.1882,,,,
2015-10-27T00:00:00,457,552,8.1522,,,,
2015-10-28T00:00:00,329,420,5,,,,
2015-10-29T00:00:00,380,480,7.0833,,,,
2015-10-30T00:00:00,284,358,11.7318,,,,
2015-10-31T00:00:00,102,117,8.547,,,,
2015-11-01T00:00:00,143,166,13.253,,,,
2015-11-02T00:00:00,400,475,6.7368,,,,
2015-11-03T00:00:00,405,501,8.3832,,,,
2015-11-04T00:00:00,345,439,10.7062,,,,
2015-11-05T00:00:00,382,485,6.3918,,,,
